actual_end_date,actual_start_date,approval_status,requester_group,summary,change_id,priority,modified_date,product_affected,change_closed_by_date_central,Success_Code,impact,modified_date_central,planned_start_date,type,date_created_central,business_risk_aots,reason_aots,planned_end_date,planned_start_central_date,employee_status,customercode,employee_priority,backout_plans,item,category,created_by_group,exception_justification,emergency_,customer_impact_desc,related_problem,related_problem_db,person_address1,person_address2,region,person_siteID,person_city,person_country,hostname,requester_group_cd,description,category_cd,lead_time,outage_state
7/27/2023 16:00,7/22/2023 23:30,Approved,ATT-IT-IBM-MO-MF-DBA-BILLCC,"DBKA Region:cBmainframe:Billing and Finance: Conversion of ALL SimpleTS, Segmented and Partitioned to UTS PBG_PBR- K1SY-DBKA.",CHG000008473742,Low,7/27/2023 7:31,CMRS,7/27/2023 7:29,Successful,99,7/27/2023 7:31,7/22/2023 23:30,Software,6/19/2023 6:15,Non-Disruptive,Technology Improvement,7/27/2023 16:00,7/22/2023 23:30,Active,AT&T,Unknown,"If Backout is required (All Items below MUST be answered):

Note: The Backout Times and Backout Validation Times MUST be included within the Planned Dates/Times on the Assessment Tab

1. List the ""Backout Steps"" OR you may provide a ""High Level Summary"" here IF a Backout Plan is attached to the Assessment Tab or details 
are documented on the Tasks tab:

Instructions

STEP1
DBA will check why TS has not been converted and fix the problem.
TS needs to be converted to the new version of db2.

2. List the ""Backout Validation Steps"" OR provide a ""High Level Summary"" here IF a Detailed Backout Plan is attached to the Assessment Tab 
or details are documented on the Tasks tab:

DBA will check on system.

3. Indicate the criteria of exactly how the Backout of this Change will be confirmed as Successful:

TS on PBG (converted)",DBMS,AT&T,,No Leadtime Issue,No Leadtime Issue,No Leadtime Issue,,,Brazil,Brazil,Brazil,Brazil,,,,ATT-IT-IBM-MO-MF-DBA-BILLCC,,Software,,
8/15/2023 15:00,8/8/2023 7:00,Approved,ATT-IT-IBM-MO-MF-PCM-COUMFGDC,SW Due 08-08 DR SMF/MXG:MVS:OWS:EPAS to recover SMF/MXG batch cycles on all cS complexes in DR,CHG000008523503,Low,8/22/2023 12:16,MXG,8/22/2023 12:16,Successful,0,8/22/2023 12:16,8/8/2023 7:00,Process,7/5/2023 11:50,Non-Disruptive,Customer Requirement,8/15/2023 15:00,8/8/2023 7:00,Active,AT&T,0,"If no Backout is required, explain why:


If Backout is required (All Items below MUST be answered):

Note: The Backout Times and Backout Validation Times MUST be included within the Planned Dates/Times on the Assessment Tab

1. List the ""Backout Steps"" OR you may provide a ""High Level Summary"" here IF a Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

2. List the ""Backout Validation Steps"" OR provide a ""High Level Summary"" here IF a Detailed Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

3. Indicate the criteria of exactly how the Backout of this Change will be confirmed as Successful:",Disaster Recovery,AT&T,,No Leadtime Issue,No Leadtime Issue,No Leadtime Issue,,,US,US,US,US,,,,ATT-IT-IBM-MO-MF-PCM-COUMFGDC,"Answer the 3 required items below (please provide answers at end of each item):

1.  Brief Description of Change (WHAT is being done): 

2.  Business Reason (WHY is this change being performed):

3.  What will be the negative Impact to the business if the Change is Not Implemented?



For any emergency changes created after 5 PM ET for that night's maintenance window, please contact the On call/After Hours Contact number @ 919-666-5265

GTOC Change Management Sites:
<https://workspace.web.att.com/sites/ChangeMan/default.aspx>
<https://wiki.web.att.com/display/ITOSM/GTOC+Change+Management>",Process,,
8/21/2023 8:00,8/18/2023 16:00,Approved,ATT-IT-IBM-MO-MF-EPAS-CB-ONLNE,E1SY/E2SY/I1SY/I3SY/H1SY/H2SY:cBMAINFRAME:Infrastructure:Weekly IPL and Maintenance:HPLEX,CHG000008542933,Low,8/21/2023 8:02,HPLEX (DALLAS),8/21/2023 8:01,Successful,1,8/21/2023 8:02,8/18/2023 16:00,Software,7/12/2023 15:09,Non-Disruptive,Maintenance (Preventative),8/21/2023 8:00,8/18/2023 16:00,Active,AT&T,1,"1. List the ""Backout Steps"" OR you may provide a ""High Level Summary"" here IF a Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

The backout plan for an IPL is to re-IPL. These procedures are located on the ROCC Sharepoint at https://att.sharepoint.com/sites/EPASMF-EMOC-IBMMO/EMOC/Procedures/Forms/AllItems.aspx.  

Change activity, as referenced on the individual tasks, occurring within an IPL/maintenance window must be evaluated on a change by change basis to determine if the activity impacted the IPL. The activity causing the problem would be backed out as outlined in the backout plan for its change management CR. If problems are encountered during an IPL due to an IPL AFFECTING STS, the STS would be backed out according to standard guidelines and STS documentation.

If assistance is required to diagnose a problem, appropriate parties should be notified.

2. List the ""Backout Validation Steps"" OR provide a ""High Level Summary"" here IF a Detailed Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

Validation for the IPL/maintenance window itself is performed via checkout as part of the ROCC's procedures after an IPL or non-IPL maintenance window.  ROCC is to determine that the system has successfully initialized, and users can logon.

Validation for any changes within the window will be a part of that change's CR. 

3. Indicate ""Exactly how this Backout will be Confirmed as Successful"":

Verification/checkout process, as defined in ROCC's procedures, is successful and system is fully functional.",Operating System,AT&T,,No Leadtime Issue,No Leadtime Issue,No Leadtime Issue,,,US,US,US,US,,,,ATT-IT-IBM-MO-MF-EPAS-CB-ONLNE,"Selected Exemption - Standard mainframe IPL's and SYSGENS changes - CRP 13951

Answer the 3 required items below (please provide answers at end of each item):

1.  Brief Description of Change (WHAT is being done): 

Weekly IPL and/or Maintenance Activity Window - Weekend Group 4

Systems IPL'd:  E1SY:E2SY:H1SY:H2SY:I1SY:I3SY:F1SY:U1SY:U4SY:Z1SY

Systems with Non-IPL maintenance: Q1SY:Q2SY:X1SY:X2SY:Y1SY


2.  Business Reason (WHY is this change being performed):

To manage activity for the maintenance window and when there is no change activity for the window to perform a therapeutic IPL of the systems.  Any actual change activity for the window will have its own change requests stating its purpose and negative impact. 

The work within this window is required so the performance of the systems will not become degraded and current releases of system software can be applied.

3.  What will be the negative Impact to the business if the Change is Not Implemented?

Change activity for the systems will not be coordinated and will potentially have conflicts resulting in outages. 

If the work within this window is not performed the performance of the systems will become degraded and current releases of system software will not be applied.

GTOC-CM website for more information - http://ChangeManagement.it.att.com",Software,,
8/12/2023 18:30,8/12/2023 17:00,Approved,ATT-IT-IBM-MO-IGAB-AUTOSUP,MVSAP6cT Mainframe:ABSMS:CNMS - Weekly Automation Changes.,CHG000008548640,Low,8/14/2023 11:13,CNMS,8/14/2023 11:12,Successful,0,8/14/2023 11:13,8/12/2023 17:00,Software,7/14/2023 9:55,Non-Disruptive Due to Redundancy,Other,8/12/2023 18:30,8/12/2023 17:00,Active,AT&T,0,"Backout (All Items below MUST be answered):

Note: The Backout Times and Backout Validation Times MUST be included within the Planned Dates/Times on the Assessment Tab

1. List the ""Backout Steps"" OR you may provide a ""High Level Summary"" here IF a Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:
MESSAGE TABLE BACKOUT:
-----------------------------------------
19:15 - 19:30 ET: FOR MESSAGE TABLE ERRORS: Correct error in master library on Focal Point Repository. Perform WAC build, reship, and load    === > to load issue ACF ATLOAD 
CONFIG FILE BACKOUT:
-----------------------------------
19:15 - 19:30 ET: Delete the newly created GDG, get previous GDG dataset name that was in use 
 Issue command to refresh, specifying the previous GDG dataset name  === > To reload issue INGAMS REFRESH
DSIOPF FILE BACKOUT:
-------------------------------------
19:15 - 19:30 ET: FOR DSIOPF / SECURITY TABLE ERRORS: Correct errors in master dataset on Focal Point repository host.   
Perform WAC build.  Ship to target host the following                           
From SYSU.domain.DSIOPF, ship full dataset to SYSU.NETV.domain.DSIOPF
From SYSU.domain.DSIPARM ship DSISECUR, RMTSECOP, SECCMDOP, SECGROP,SECTABLE    
From NCCF issue tests:
 REFRESH OPERS,TEST
 REFRESH CMDAUTH=TABLE,TBLNAME=SECTABLE,TEST
 To ensure members are not in storage, issue from NCCF 
  DROPMEM DSIPARM.SDCOPF
 Issue Load command    AATUTIL OPERS
CLIST BACKOUT
--------------------
19:15 - 19:30 In master clist library on Focal Point repository, rename your backup copy of clist back to what it was
 Ship clist to target host dataset SYSU.NETV.SDC.CNMCLST
 Issue DROPMEM DSICLD.member name to ensure not in storage
For AAT updates: If there is a need to recover, for any reason, a CPRESS to each library should be again done, and then copy from SYSU.NETV.AATMSTR.V3M3DIST.* where * is indicated as above, to each of the corresponding SYSU.NETV.AATBASE.* libraries.

2. List the ""Backout Validation Steps"" OR provide a ""High Level Summary"" here IF a Detailed Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:
VALIDATION: (Message Table) is successful load of Message Table from ACF ATLOAD command
VALIDATION:  (Policy)is successful load of policy from INGAMS REFRESH command        
VALIDATION (DSIOPF) is successful load of the security and opf members from the AATUTIL OPERS command
VALIDATION - (CLIST) Issue BR membername    ensure backed out member is being viewed.


3. Indicate ""Exactly how this Backout will be Confirmed as Successful"":
Backout is confirmed successful as noted in the Backout Validation steps",System Software,AT&T,,No Leadtime Issue,No Leadtime Issue,No Leadtime Issue,,,US,US,US,US,,,,ATT-IT-IBM-MO-IGAB-AUTOSUP,"Answer the 3 required items below (please provide answers at end of each item):. 

1.  Brief Description of Change (WHAT is being done):
     Add/Remove/Modify Automation policy entries, clists, message tables, and opids per 
     received automation requirements, for given resources under automations control.  

2.  Business Reason (WHY is this change being performed):
      BUSINESS REASON:  Ensures automation currency and continued successful automation 
      monitoring of resources within automation

3.  What will be the negative Impact to the business if the Change is Not Implemented?
     If change is not implemented, automation currency will be effected.

ACM website for more information - http://ChangeManagement.it.att.com",Software,,
7/22/2023 7:00,7/22/2023 5:00,Approved,ATT-IT-IBM-MO-MF-SSFW-DB2,"NON-PROD:cS Mainframe:Service Delivery:changes on Test, Dev, DR, Pre-Prod, etc.",CHG000008552923,Low,7/24/2023 6:48,DB2,7/24/2023 6:48,Successful,1,7/24/2023 6:48,7/22/2023 5:00,Software,7/17/2023 8:32,Non-Disruptive,Maintenance (Preventative),7/22/2023 7:00,7/22/2023 5:00,Active,AT&T,1,Verifier submit dbss.INSTALL(FALLBACK) job to back off maintenance.,NON-PROD,AT&T,,No Leadtime Issue,No Leadtime Issue,No Leadtime Issue,,,US,US,US,US,,,,ATT-IT-IBM-MO-MF-SSFW-DB2,"Apply PDO 2043.8 Demand Maintenance on the following SLT2 - CAST - DB2 Subsystems (DB2B, DB2P, DB2H, DB2N, DB2T, DGW2, DGX2),

Update ERLY CODE modules to PDO 2043.8",Software,,
7/23/2023 2:00,7/22/2023 23:00,Approved,ATT-IT-ENTRPRS-NTWK-WFA,"UCT - WFAC, NSDB: AM6B,SF21:PI58 :cSmainframe:Network:R9.9.0.25 Release in MI",CHG000008555086,Low,7/25/2023 1:17,"wfa/c(641),nsdb(412),aai(7948)",7/25/2023 1:17,Successful,0,7/25/2023 1:17,7/22/2023 23:00,Software,7/18/2023 2:15,Disruptive,Maintenance/Enhancement,7/23/2023 2:00,7/22/2023 23:00,Active,AT&T,0,"If no Backout is required, explain why:

              If Backout is required (All Items below MUST be answered):

              Note:  The Backout Times and Backout Validation Times MUST be included within the Planned Dates/Times on
              the Assessment Tab

              1.  List the """"Backout Steps"""" OR you may provide a """"High Level Summary"""" here IF a Backout Plan is
              attached to the Assessment Tab or details are documented on the Tasks tab:

              2.  List the """"Backout Validation Steps"""" OR provide a """"High Level Summary"""" here IF a Detailed Backout
              Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

              3.  Indicate the criteria of exactly how the Backout of this Change will be confirmed as Successful:",Application,AT&T,,No Leadtime Issue,Other,No Leadtime Issue,,,AP,AP,AP,AP,,,,ATT-IT-ENTRPRS-NTWK-WFA,"Answer the 3 required items below (Please provide answers at end of each item):
              1.  Brief Description of Change (WHAT is being done):
WFA/C, NSDB R9.9.0.25 Release in MI
              2.  Business Reason (WHY is this change being performed):
Install the release modules for 9.9.0.25 in MI 
              3.  What will be the negative impact to the business if the Change is Not Implemented?
MI will not get updated to new release level.
            GTOC-CM website for more information - https://workspace.web.att.com/sites/ChangeMan/default.aspx",Software,,
7/25/2023 7:00,7/25/2023 5:00,Approved,ATT-IT-IBM-MO-MF-SSFW-DB2,"NON-PROD:cS Mainframe:Service Delivery:changes on Test, Dev, DR, Pre-Prod, etc.",CHG000008574509,Low,7/25/2023 6:01,DB2,7/25/2023 6:01,Successful,0,7/25/2023 6:01,7/25/2023 5:00,Software,7/24/2023 10:18,Non-Disruptive,Maintenance (Preventative),7/25/2023 7:00,7/25/2023 5:00,Active,AT&T,0,Verifier submit dbss.INSTALL(FALLBACK) job to back off maintenance.,NON-PROD,AT&T,,No Leadtime Issue,Other,No Leadtime Issue,,,US,US,US,US,,,,ATT-IT-IBM-MO-MF-SSFW-DB2,"Apply PDO 2043.8 Demand Maintenance on the following SLT2 - CAST - DB2 Subsystems (DB2B, DB2P, DB2H, DB2N, DB2T)",Software,,
7/31/2023 8:00,7/31/2023 5:00,Approved,ATT-IT-IBM-MO-MF-SSFW-DB2,SL03: cS Mainframe:Service Delivery:Rebind all Packages before Db2 V13 Migration.,CHG000008580976,Low,7/31/2023 12:13,DB2,7/31/2023 12:13,Successful,0,7/31/2023 12:13,7/31/2023 5:00,Software,7/26/2023 7:19,Non-Disruptive,Maintenance (Preventative),7/31/2023 8:00,7/31/2023 5:00,Active,AT&T,0,"Note: The Backout Times and Backout Validation Times MUST be included within the Planned Dates/Times on the Assessment Tab 

1. List the ""Backout Steps"" OR you may provide a ""High Level Summary"" here IF a Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

    BACKOUT can be performed for any PACKAGE with the following REBIND control cards:

	Fallback to the previous copy of the package by issuing a REBIND PACKAGE command with the SWITCH(PREVIOUS) option

	REBIND PACKAGE(collection.package) 
       	       SWITCH(PREVIOUS)

 
2. List the ""Backout Validation Steps"" OR provide a ""High Level Summary"" here IF a Detailed Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

   Check job's output executed on step 1.


3. Indicate ""Exactly how this Backout will be Confirmed as Successful"":

   Check job's output if Return Code <=4 on step 1.",System Software,AT&T,,Scheduling.,Scheduling,Scheduling.,,,LA,LA,LA,LA,,,,ATT-IT-IBM-MO-MF-SSFW-DB2,"Answer the 3 required items below (please provide answers at end of each item):

1. Brief Description of Change (WHAT is being done?):

   REBIND all PACKAGES that were used within last 18 months and were bound prior to Db2 11 on SL03 (AR00 and BR00) Prod Db2 Subsystems.


2.Business Reason (WHY is this change being performed?):
 
   Required for DB2 Ver 13 Migration. 


3.What will be the negative Impact to the business if the Change is Not Implemented?

    No impact, but change will have to be rescheduled. DB2 Ver 12 could go out of service.

ACM website for more information - http://ChangeManagement.it.att.com",Software,,
8/30/2023 0:00,8/29/2023 20:00,Approved,ATT-IT-IBM-MO-IBMT,Netview: cS Mainframe PT: cS Enterprise: Common automation,CHG000008602970,Low,9/4/2023 9:10,"NETVIEW, SA",8/31/2023 15:40,Successful,0,9/4/2023 9:10,8/29/2023 20:00,Software,8/2/2023 12:59,Non-Disruptive,Maintenance/Enhancement,8/30/2023 0:00,8/29/2023 20:00,Active,AT&T,0,"Backout (All Items below MUST be answered):

Note: The Backout Times and Backout Validation Times MUST be included within the Planned Dates/Times on the Assessment Tab

1. List the ""Backout Steps"" OR you may provide a ""High Level Summary"" here IF a Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

IBM MO IBMT AO MVS SUPPORT group on call person is notified for error evaluation and repair via the error detection/notification process. This will occur as soon as an error is detected.  This contact information is available via IBM MO TOOLS Contacts web site http://iwco.its.att.com/contacts/Tools.htm under AO MVS SUPPORT

Contact information:  
                               Phone		Pager
Flavio Custodio 	(770) 658-3497	19998124772@vivo.blackberry.com

Backout steps:
-Review errors 
-Restore changed data sets from previous backups
-Issue required refresh command to SA/Netview-
-If NETVIEW and/or SA390AM was bounced to implement changes it may need to be bounced again.

2. List the ""Backout Validation Steps"" OR provide a ""High Level Summary"" here IF a Detailed Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

VALIDATION: 
 Logon to Netview. 
 Verify SA/Netview is functioning and responding properly.

-Issue ""ACF STATUS"" command
Verify that an output is returned
Verify that msg "" AOF006I BUILT     BY xxyyyy   ON mm/dd/yy AT hh:mm:ss"" reflects the timestamp of when AOFBLDCS was run
Verify that msg ""AOF006I LOADED BY AUTO1 ON mm/dd/yy AT hh:mm:ss "" reflects the time Automation was refreshed

-Issue ""INGLIST"" command
Verify that an output is returned

3. Indicate ""Exactly how this Backout will be Confirmed as Successful"":

Verifying the output of the commands listed in the Backout Validation section.",PREAPPR,AT&T,,"1. What pre-implementation testing was performed and was it validated? (If none explain why):
* Changes developed/tested/validated for syntax and functionality on SLT0 prior to implementation.

2. Impact to Customer/App during implementation of change activity. Choose either OUTAGE, NO IMPACT, LOSS OF FUNCTIONALITY, or DEGRADED PERFORMANCE (Explain if answer other than 'NO IMPACT'):
There is no impact to Customer/App during implementation of change activity.

3. What will be the negative Impact to the business if the Change is Not Implemented?
Implementing changes keeps automation consistent and standard across the enterprise.

4. Will this Change Window take place within the documented Availability/Maintenance schedule or have additional maintenance hours been negotiated with the customer representatives as necessary?
YES This Change Window will take place within the documented Availability/Maintenance schedule or additional maintenance hours have been negotiated with the customer representatives as necessary:

5. Has the Requester confirmed that dates and times for the change have been approved by the group(s) impacted by this chg?
YES. The Requester has confirmed that dates & times for the chg have been approved by the group(s) impacted by this chg.",No Leadtime Issue,"1. What pre-implementation testing was performed and was it validated? (If none explain why):
* Changes developed/tested/validated for syntax and functionality on SLT0 prior to implementation.

2. Impact to Customer/App during implementation of change activity. Choose either OUTAGE, NO IMPACT, LOSS OF FUNCTIONALITY, or DEGRADED PERFORMANCE (Explain if answer other than 'NO IMPACT'):
There is no impact to Customer/App during implementation of change activity.

3. What will be the negative Impact to the business if the Change is Not Implemented?
Implementing changes keeps automation consistent and standard across the enterprise.

4. Will this Change Window take place within the documented Availability/Maintenance schedule or have additional maintenance hours been negotiated with the customer representatives as necessary?
YES This Change Window will take place within the documented Availability/Maintenance schedule or additional maintenance hours have been negotiated with the customer representatives as necessary:

5. Has the Requester confirmed that dates and times for the change have been approved by the group(s) impacted by this chg?
YES. The Requester has confirmed that dates & times for the chg have been approved by the group(s) impacted by this chg.",,,LA,LA,LA,LA,,,,ATT-IT-IBM-MO-IBMT,"Answer the required items below (please provide answers at end of each item):

1.  Brief Description of Change (WHAT is being done):  Deploy/Activate Common Automation release - cS PT MF complexes

2.  Business Reason (WHY is this change being performed): This deployment keeps mainframe system automation at consistent level across all lpars in Enterprise.

3.  What will be the negative Impact to the business if the Change is Not Implemented?  Automated response or notification would not work in standard manner across AT&T Mainframe systems. 

For registered pre-approved activity, on the RELATED ITEMS tab, add the Assigned Pre-Approved Number to the ""Number"" field, ""Incident"" for the Type, and ""SOPPA"" for the ""Database"" field.",Software,,
8/10/2023 21:00,8/10/2023 18:00,Approved,ATT-IT-IBM-MO-MF-STOR-PERF-CFG,STORAGE: reconfiguration work on that DASD subsystem - 75CMY80 - ALTx,CHG000008603967,Low,8/15/2023 9:10,Storage DASD,8/11/2023 8:41,Successful,0,8/15/2023 9:10,8/10/2023 18:00,Hardware,8/2/2023 16:13,Non-Disruptive,Maintenance (Preventative),8/10/2023 21:00,8/10/2023 18:00,Active,AT&T,0,"If no Backout is required, explain why:


If Backout is required (All Items below MUST be answered):

Note: The Backout Times and Backout Validation Times MUST be included within the Planned Dates/Times on the Assessment Tab

1. List the ""Backout Steps"" OR you may provide a ""High Level Summary"" here IF a Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:

unconfigure the vols back

2. List the ""Backout Validation Steps"" OR provide a ""High Level Summary"" here IF a Detailed Backout Plan is attached to the Assessment Tab or details are documented on the Tasks tab:
Storage DASD team will check if the volumes are configured

3. Indicate the criteria of exactly how the Backout of this Change will be confirmed as Successful:

check if the vols are configured",PREAPPR,AT&T,,No Leadtime Issue,Other,No Leadtime Issue,,,Brazil,Brazil,Brazil,Brazil,,,,ATT-IT-IBM-MO-MF-STOR-PERF-CFG,"Answer the required items below (please provide answers at end of each item):

1.  Brief Description of Change (WHAT is being done):

Configuring shared spares volumes

2.  Business Reason (WHY is this change being performed):

Add more share space to be used by shared volumes like SYSPLEX volumes.

3.  What will be the negative Impact to the business if the Change is Not Implemented?
N/A


For registered pre-approved activity, on the RELATED ITEMS tab, add the Assigned Pre-Approved Number to the ""Number"" field, ""Incident"" for the Type, and ""ONE Tool"" for the ""Database"" field.

For any emergency changes created after 5 PM ET for that night's maintenance window, please contact the On call/After Hours Contact number @ 919-666-5265

GTOC Change Management Sites:
https://workspace.web.att.com/sites/ChangeMan/default.aspx 
https://wiki.web.att.com/display/ITOSM/GTOC+Change+Management",Hardware,,
